#RPLIDAR SCAN DATA
#COUNT=155
#Angule	Distance	Quality
350.8868 5655.5 44
352.1832 5655.5 36
357.7808 2285.3 60
359.0771 2268.0 56
7.9047 867.0 60
9.1077 869.3 60
10.4370 862.0 60
11.7334 854.0 60
14.6832 674.3 60
16.0126 671.3 60
17.2760 671.8 60
21.2640 660.0 60
22.5439 658.0 60
23.7469 659.5 60
25.2136 662.8 60
35.7495 1311.5 60
37.0459 1307.3 60
38.3423 1302.5 60
42.9510 2624.8 60
44.2145 2618.5 60
50.8118 2169.8 0
57.2003 2509.0 60
58.4967 2504.8 60
59.7327 2503.0 60
61.0291 2501.3 60
62.3419 2499.8 60
63.6218 2504.5 60
64.9017 2506.5 60
66.1981 2513.5 60
67.4670 2519.8 60
68.7799 2522.3 60
70.0433 2533.0 60
71.3397 2544.5 60
72.6361 2555.3 60
73.9050 2564.0 60
75.1849 2582.5 60
76.5143 2604.3 60
77.7777 2612.0 60
79.0741 2617.3 60
80.3540 2623.5 60
81.6229 2631.5 56
82.8699 2661.0 60
84.1223 2704.8 60
85.4187 2728.0 60
86.7151 2742.3 60
87.9950 2772.5 60
89.2474 2820.0 56
90.5438 2856.0 52
91.8237 2880.3 60
93.1091 2911.3 60
94.4055 2931.3 40
96.9324 3064.8 60
98.2452 3074.0 60
100.7611 3224.0 60
102.0575 3273.0 52
103.3264 3357.8 60
104.6063 3443.3 60
105.8862 3533.0 28
107.1716 3591.3 60
109.7150 3760.5 20
112.2803 3954.3 28
114.8566 4147.8 20
118.7183 4179.0 4
125.1672 3943.8 12
126.4636 3915.3 60
135.5603 3698.3 8
136.8567 3695.8 12
138.1366 3693.8 60
139.4495 3684.8 60
143.3276 3505.0 4
144.6405 3496.3 8
145.9039 3531.5 20
147.2003 3563.3 20
148.4967 3566.3 20
149.7656 3566.8 40
151.0730 3565.3 40
152.3749 3532.8 24
153.6548 3533.0 36
155.0281 3567.8 20
156.3080 3558.3 24
157.6208 3523.5 16
158.9172 3497.0 12
160.2026 3499.3 12
164.0588 3688.5 8
165.3552 3695.3 16
191.1676 3919.0 28
200.2808 3317.8 20
201.5936 3273.5 60
202.9175 3190.8 16
206.2628 1209.3 40
207.5427 1201.8 60
208.9050 1198.3 60
210.2179 1197.3 60
212.7338 1194.5 60
214.0302 1198.5 60
215.3101 1203.0 60
216.6064 1210.5 60
217.9028 1218.5 60
219.1553 1225.5 60
220.4187 1244.3 60
222.9950 1270.0 60
227.6532 2569.5 60
228.9496 2553.5 60
230.2789 2544.3 60
231.5424 2537.5 60
232.8552 2528.8 60
234.1681 2516.8 60
235.4370 2507.3 60
239.3097 796.8 60
240.6830 785.8 60
241.9025 772.8 60
243.2153 768.3 56
244.6545 760.3 48
245.8905 760.5 60
247.1869 761.5 60
248.4833 748.0 60
249.8895 739.8 60
251.1530 739.3 60
257.8876 644.0 60
259.1675 641.3 60
264.3091 660.3 60
265.5615 659.3 60
266.8085 661.8 60
268.1543 665.3 36
272.9059 2900.0 60
274.2023 2922.5 60
275.4218 2965.3 56
276.7017 3034.0 60
277.9980 3073.0 60
289.5282 3731.5 32
292.0935 3915.3 32
294.6698 4126.0 24
297.2296 4414.0 28
299.9213 4722.3 24
301.2177 4853.5 60
305.0903 5216.5 12
324.5911 5458.8 60
325.9039 5433.3 60
327.2003 5420.3 60
329.8260 5161.3 48
331.1389 5159.5 56
332.4353 5132.8 60
335.0116 5306.0 24
336.3080 5321.8 28
337.6044 5359.0 16
338.9063 5362.0 16
340.2136 5400.0 60
341.5155 5470.0 60
342.7789 5501.8 60
344.1083 5527.0 60
345.3882 5597.5 24
346.7175 5654.8 44
348.0304 5655.0 36
349.3268 5655.5 40
350.6232 5655.5 48
