#RPLIDAR SCAN DATA
#COUNT=944
#Angule	Distance	Quality
352.8259 1594.0 188
353.1390 1594.0 188
353.4521 1596.0 188
353.7762 1592.0 188
354.0894 1590.0 188
354.4025 1592.0 188
354.7156 1594.0 188
355.0452 1594.0 188
355.3583 1594.0 188
355.6714 1592.0 188
355.9955 1598.0 188
356.3086 1600.0 188
356.6217 1596.0 188
356.9348 1596.0 188
357.2644 1596.0 188
357.5775 1596.0 188
357.8906 1598.0 188
358.2147 1596.0 188
358.5278 1598.0 188
358.8409 1600.0 188
359.1541 1598.0 188
359.4836 1598.0 188
359.7968 1596.0 188
0.1044 1598.0 188
0.4340 1602.0 188
0.7471 1602.0 188
1.0602 1602.0 188
1.3733 1604.0 188
1.7029 1600.0 188
2.0105 1604.0 188
2.3236 1608.0 188
2.6532 1606.0 188
2.9663 1608.0 188
3.2794 1608.0 188
3.5925 1606.0 188
3.9166 1608.0 188
4.2297 1608.0 188
4.5428 1612.0 188
4.8560 1612.0 188
5.1855 1614.0 188
5.4987 1612.0 188
5.8118 1614.0 188
6.1249 1616.0 188
6.4490 1618.0 188
6.7621 1620.0 188
7.0752 1622.0 188
7.3883 1622.0 188
7.7179 1622.0 188
8.0310 1624.0 188
8.3386 1628.0 188
8.6517 1630.0 188
8.9813 1634.0 188
9.2944 1630.0 188
9.6075 1628.0 188
9.9207 1628.0 188
10.2448 1630.0 188
10.5579 1632.0 188
10.8710 1636.0 188
11.1401 1640.0 188
11.4478 1642.0 188
11.7609 1644.0 188
12.0905 1646.0 188
12.4036 1648.0 188
12.7167 1656.0 188
13.0298 1662.0 188
13.3594 1664.0 188
13.6670 1666.0 188
13.9801 1666.0 188
14.3097 1668.0 188
14.6228 1672.0 188
14.9359 1676.0 188
15.2490 1680.0 188
15.5731 1682.0 188
15.8862 1682.0 188
16.1993 1686.0 188
16.5125 1688.0 188
16.8420 1688.0 188
17.1552 1694.0 188
17.4683 1702.0 188
17.7759 1706.0 188
18.1055 1706.0 188
18.4186 1712.0 188
18.7317 1718.0 188
19.0448 1720.0 188
19.3744 1722.0 188
19.6875 1726.0 188
19.9951 1730.0 188
20.3082 1734.0 188
20.6378 1736.0 188
20.9509 1740.0 188
21.2640 1744.0 188
21.5936 1750.0 188
21.9012 1754.0 188
22.1539 1760.0 188
22.4835 1764.0 188
22.7966 1768.0 188
